show_id,review_text,sentiment,review_date
s361,Loved it!,neutral,2022-09-01
s6392,Loved it!,positive,2024-06-04
s8356,Could be better,positive,2023-08-10
s1489,Could be better,positive,2023-06-02
s8298,Bad acting,negative,2024-11-10
s5559,Loved it!,negative,2022-07-09
s2698,Not for me,negative,2024-07-03
s7475,Too slow,neutral,2023-09-07
s5868,Great plot,neutral,2024-05-05
s3947,Not for me,neutral,2023-04-11
s1845,Could be better,negative,2022-04-09
s487,Amazing visuals,positive,2024-04-09
s5034,Not for me,neutral,2024-09-23
s6855,Not for me,neutral,2022-02-25
s4236,Not for me,neutral,2024-11-11
s2580,Not for me,positive,2023-08-03
s8528,Not for me,neutral,2022-07-04
s8153,Could be better,neutral,2023-06-06
s8723,Loved it!,positive,2022-09-21
s1375,Didn't enjoy it,neutral,2024-11-27
s8681,Not for me,positive,2024-09-29
s4149,Not for me,negative,2022-05-03
s4049,Pretty good,neutral,2022-10-28
s8774,Loved it!,neutral,2024-04-12
s3300,Didn't enjoy it,positive,2024-12-26
s1428,Great plot,positive,2023-10-07
s531,Great plot,neutral,2024-05-23
s2573,Amazing visuals,positive,2023-01-29
s6342,Would recommend,neutral,2023-10-23
s6549,Too slow,positive,2022-03-10
s3338,Pretty good,negative,2024-02-01
s6652,Loved it!,neutral,2022-11-16
s8093,Loved it!,positive,2022-06-26
s7051,Would recommend,neutral,2023-08-07
s5210,Amazing visuals,negative,2023-08-05
s3863,Bad acting,neutral,2022-04-21
s8042,Could be better,positive,2024-09-25
s3498,Amazing visuals,neutral,2024-01-28
s2573,Didn't enjoy it,positive,2022-10-10
s5063,Amazing visuals,positive,2022-07-13
s380,Would recommend,positive,2024-08-24
s3871,Would recommend,neutral,2024-12-06
s6720,Too slow,positive,2024-09-04
s2883,Pretty good,negative,2022-12-08
s70,Not for me,positive,2023-06-06
s3273,Great plot,positive,2024-03-11
s5880,Would recommend,positive,2024-06-21
s331,Too slow,positive,2022-05-11
s5045,Could be better,neutral,2024-03-24
s745,Great plot,positive,2022-03-02
s4068,Bad acting,positive,2022-06-13
s7584,Loved it!,positive,2022-09-29
s8774,Could be better,positive,2022-05-13
s4569,Bad acting,positive,2024-09-24
s2437,Great plot,neutral,2022-02-07
s3333,Could be better,neutral,2023-09-09
s7769,Too slow,neutral,2023-04-19
s5628,Bad acting,neutral,2022-02-28
s2192,Loved it!,neutral,2023-08-12
s3786,Not for me,negative,2023-05-14
s1545,Too slow,positive,2023-07-21
s1972,Didn't enjoy it,positive,2023-07-21
s1916,Loved it!,positive,2024-06-22
s7532,Pretty good,positive,2023-01-18
s8469,Amazing visuals,positive,2022-03-26
s7664,Pretty good,neutral,2023-09-19
s880,Would recommend,positive,2024-04-05
s7529,Not for me,negative,2022-10-20
s3414,Didn't enjoy it,positive,2024-12-08
s2933,Didn't enjoy it,positive,2024-12-26
s2652,Amazing visuals,negative,2024-02-26
s2881,Bad acting,negative,2022-05-09
s1430,Amazing visuals,positive,2022-01-29
s1181,Would recommend,neutral,2023-11-23
s4872,Pretty good,negative,2022-05-13
s2146,Didn't enjoy it,positive,2023-10-08
s6061,Pretty good,positive,2023-11-20
s2400,Loved it!,negative,2023-06-18
s1570,Not for me,neutral,2023-05-31
s7525,Could be better,positive,2024-08-17
s3167,Would recommend,neutral,2022-06-14
s6046,Could be better,positive,2024-07-15
s1563,Would recommend,negative,2024-07-21
s1018,Great plot,positive,2023-07-11
s8610,Not for me,negative,2023-11-11
s6225,Loved it!,neutral,2024-09-19
s4813,Not for me,positive,2024-10-25
s3616,Bad acting,positive,2024-01-27
s5996,Would recommend,neutral,2024-05-04
s178,Could be better,negative,2023-05-08
s6798,Would recommend,positive,2023-10-11
s2374,Bad acting,positive,2024-09-18
s2026,Would recommend,neutral,2023-09-20
s4882,Not for me,neutral,2023-09-17
s5770,Too slow,positive,2023-06-27
s2863,Would recommend,neutral,2022-01-07
s1818,Great plot,neutral,2024-08-11
s1732,Great plot,positive,2023-05-30
s7628,Didn't enjoy it,positive,2024-01-25
s4511,Great plot,positive,2022-03-14
s24,Would recommend,neutral,2022-01-10
s8671,Would recommend,neutral,2023-07-16
s6493,Too slow,neutral,2022-05-02
s4241,Great plot,positive,2023-11-18
s4236,Pretty good,positive,2023-05-28
s5274,Would recommend,negative,2024-09-16
s6977,Loved it!,positive,2023-03-17
s695,Loved it!,neutral,2024-11-27
s5191,Could be better,neutral,2023-12-03
s5715,Too slow,positive,2023-08-14
s4864,Bad acting,positive,2022-03-08
s24,Pretty good,positive,2022-01-17
s234,Would recommend,positive,2023-01-03
s1889,Not for me,neutral,2024-06-22
s7015,Amazing visuals,positive,2023-12-22
s1689,Amazing visuals,positive,2024-08-15
s3943,Bad acting,neutral,2024-06-26
s1222,Didn't enjoy it,positive,2024-09-15
s1759,Not for me,neutral,2023-04-18
s5118,Amazing visuals,positive,2022-04-25
s6145,Bad acting,positive,2022-04-10
s5314,Amazing visuals,positive,2023-03-14
s268,Too slow,positive,2022-12-15
s5301,Could be better,negative,2022-05-19
s3335,Didn't enjoy it,neutral,2024-04-07
s223,Too slow,positive,2022-11-20
s173,Not for me,positive,2024-04-25
s3414,Bad acting,positive,2022-10-21
s7110,Pretty good,positive,2024-08-25
s545,Not for me,positive,2022-03-15
s5186,Not for me,neutral,2023-04-29
s5826,Great plot,negative,2022-01-16
s6716,Pretty good,positive,2024-03-03
s3886,Loved it!,neutral,2023-05-31
s2496,Great plot,negative,2024-07-13
s1979,Bad acting,positive,2024-04-03
s7851,Loved it!,negative,2023-06-02
s7938,Amazing visuals,neutral,2022-05-09
s3044,Amazing visuals,positive,2023-05-26
s4047,Not for me,negative,2023-02-27
s7332,Great plot,positive,2023-01-20
s7492,Would recommend,positive,2022-08-20
s8184,Pretty good,neutral,2024-08-16
s624,Loved it!,positive,2024-04-04
s4849,Pretty good,positive,2022-03-06
s333,Great plot,positive,2024-04-12
s7035,Not for me,neutral,2023-09-07
s2639,Too slow,neutral,2024-03-11
s4735,Amazing visuals,neutral,2022-10-05
s5863,Loved it!,negative,2023-01-01
s2875,Loved it!,positive,2023-05-31
s1062,Bad acting,positive,2023-03-15
s6521,Loved it!,neutral,2023-03-04
s533,Great plot,neutral,2023-12-30
s7800,Loved it!,positive,2023-01-31
